date,HHA11AS001XQ01,HHA31AS001XQ01,HHA51AS001XQ01,HHA71AS001XQ01,HHA81AS001XQ01,HNA00AA001AXQ01,HNA00AA002AXQ01,LAF14CG101XQ01,LAF31CG101XQ01,LAF33CG101XQ01
2016/3/1 0:00,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:01,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 0:02,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 0:03,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:04,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:05,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:06,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:07,80,80,80,80,80,100,85,2.59463,0.824176,0.213675
2016/3/1 0:08,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:09,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:10,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:11,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:12,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 0:13,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:14,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:15,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 0:16,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:17,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:18,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 0:19,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:20,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:21,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:22,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:23,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 0:24,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:25,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 0:26,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:27,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:28,80,80,80,80,80,100,85,2.53358,0.824176,0.152625
2016/3/1 0:29,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:30,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:31,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:32,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
2016/3/1 0:33,80,80,80,80,80,100,85,2.59463,0.824176,0.152625
